Positvity measure (%),Split,Provider country,Mode of study,Level of study,Subject,Question Number,Responses
87.2,21 to 25,UK,Full-time,First degree,Medicine and dentistry,Theme 1: Teaching on my course,102.7
83.1,21 to 25,UK,Full-time,First degree,Medicine and dentistry,Theme 2: Learning opportunities,102.7
71.9,21 to 25,UK,Full-time,First degree,Medicine and dentistry,Theme 3: Assessment and feedback,102.7
87.6,21 to 25,UK,Full-time,First degree,Medicine and dentistry,Theme 4: Academic support,102.7
56.3,21 to 25,UK,Full-time,First degree,Medicine and dentistry,Theme 5: Organisation and management,102.7
83.4,21 to 25,UK,Full-time,First degree,Medicine and dentistry,Theme 6: Learning resources,102.7
66.2,21 to 25,UK,Full-time,First degree,Medicine and dentistry,Theme 7: Student voice,101.7
80.2,21 to 25,UK,Full-time,First degree,Subjects allied to medicine,Theme 1: Teaching on my course,5310.3
77.2,21 to 25,UK,Full-time,First degree,Subjects allied to medicine,Theme 2: Learning opportunities,5310.3
73.7,21 to 25,UK,Full-time,First degree,Subjects allied to medicine,Theme 3: Assessment and feedback,5311.3
71.8,21 to 25,UK,Full-time,First degree,Subjects allied to medicine,Theme 4: Academic support,5308.3
53.6,21 to 25,UK,Full-time,First degree,Subjects allied to medicine,Theme 5: Organisation and management,5311.3
84.8,21 to 25,UK,Full-time,First degree,Subjects allied to medicine,Theme 6: Learning resources,5291.3
65.7,21 to 25,UK,Full-time,First degree,Subjects allied to medicine,Theme 7: Student voice,5277.6
88.3,21 to 25,UK,Full-time,First degree,Biological and sport sciences,Theme 1: Teaching on my course,1074.3
82.2,21 to 25,UK,Full-time,First degree,Biological and sport sciences,Theme 2: Learning opportunities,1074.3
81.4,21 to 25,UK,Full-time,First degree,Biological and sport sciences,Theme 3: Assessment and feedback,1074.3
85.1,21 to 25,UK,Full-time,First degree,Biological and sport sciences,Theme 4: Academic support,1073.3
77.6,21 to 25,UK,Full-time,First degree,Biological and sport sciences,Theme 5: Organisation and management,1073.3
86.2,21 to 25,UK,Full-time,First degree,Biological and sport sciences,Theme 6: Learning resources,1070.3
76,21 to 25,UK,Full-time,First degree,Biological and sport sciences,Theme 7: Student voice,1063.9
85,21 to 25,UK,Full-time,First degree,Psychology,Theme 1: Teaching on my course,1087.2
79.6,21 to 25,UK,Full-time,First degree,Psychology,Theme 2: Learning opportunities,1087.2
78.4,21 to 25,UK,Full-time,First degree,Psychology,Theme 3: Assessment and feedback,1087.2
80.9,21 to 25,UK,Full-time,First degree,Psychology,Theme 4: Academic support,1086.2
75.1,21 to 25,UK,Full-time,First degree,Psychology,Theme 5: Organisation and management,1086.2
86.7,21 to 25,UK,Full-time,First degree,Psychology,Theme 6: Learning resources,1075.9
74.2,21 to 25,UK,Full-time,First degree,Psychology,Theme 7: Student voice,1079.2
88.4,21 to 25,UK,Full-time,First degree,Veterinary sciences,Theme 1: Teaching on my course,30.9
86.7,21 to 25,UK,Full-time,First degree,Veterinary sciences,Theme 2: Learning opportunities,30.9
73.8,21 to 25,UK,Full-time,First degree,Veterinary sciences,Theme 3: Assessment and feedback,30.9
83.8,21 to 25,UK,Full-time,First degree,Veterinary sciences,Theme 4: Academic support,30.9
62.1,21 to 25,UK,Full-time,First degree,Veterinary sciences,Theme 5: Organisation and management,30.9
76.5,21 to 25,UK,Full-time,First degree,Veterinary sciences,Theme 6: Learning resources,30.9
80,21 to 25,UK,Full-time,First degree,Veterinary sciences,Theme 7: Student voice,30.9
83.6,21 to 25,UK,Full-time,First degree,"Agriculture, food and related studies",Theme 1: Teaching on my course,186.7
78.6,21 to 25,UK,Full-time,First degree,"Agriculture, food and related studies",Theme 2: Learning opportunities,186.7
78.6,21 to 25,UK,Full-time,First degree,"Agriculture, food and related studies",Theme 3: Assessment and feedback,186.7
80.5,21 to 25,UK,Full-time,First degree,"Agriculture, food and related studies",Theme 4: Academic support,185.7
68.3,21 to 25,UK,Full-time,First degree,"Agriculture, food and related studies",Theme 5: Organisation and management,186.7
82.3,21 to 25,UK,Full-time,First degree,"Agriculture, food and related studies",Theme 6: Learning resources,185.7
68.6,21 to 25,UK,Full-time,First degree,"Agriculture, food and related studies",Theme 7: Student voice,186.7
85.7,21 to 25,UK,Full-time,First degree,Physical sciences,Theme 1: Teaching on my course,201.6
82.7,21 to 25,UK,Full-time,First degree,Physical sciences,Theme 2: Learning opportunities,201.6
80.5,21 to 25,UK,Full-time,First degree,Physical sciences,Theme 3: Assessment and feedback,201.6
85.7,21 to 25,UK,Full-time,First degree,Physical sciences,Theme 4: Academic support,201.6
73.9,21 to 25,UK,Full-time,First degree,Physical sciences,Theme 5: Organisation and management,201.6
85.4,21 to 25,UK,Full-time,First degree,Physical sciences,Theme 6: Learning resources,201.6
75.9,21 to 25,UK,Full-time,First degree,Physical sciences,Theme 7: Student voice,199.6
83.8,21 to 25,UK,Full-time,First degree,Mathematical sciences,Theme 1: Teaching on my course,162.5
81.7,21 to 25,UK,Full-time,First degree,Mathematical sciences,Theme 2: Learning opportunities,162.5
81.3,21 to 25,UK,Full-time,First degree,Mathematical sciences,Theme 3: Assessment and feedback,162.5
91.3,21 to 25,UK,Full-time,First degree,Mathematical sciences,Theme 4: Academic support,162.5
82.2,21 to 25,UK,Full-time,First degree,Mathematical sciences,Theme 5: Organisation and management,162.5
89.3,21 to 25,UK,Full-time,First degree,Mathematical sciences,Theme 6: Learning resources,162.5
79.5,21 to 25,UK,Full-time,First degree,Mathematical sciences,Theme 7: Student voice,161.8
81.3,21 to 25,UK,Full-time,First degree,Engineering and technology,Theme 1: Teaching on my course,1131.6
79.6,21 to 25,UK,Full-time,First degree,Engineering and technology,Theme 2: Learning opportunities,1131.6
76.6,21 to 25,UK,Full-time,First degree,Engineering and technology,Theme 3: Assessment and feedback,1131.6
83.8,21 to 25,UK,Full-time,First degree,Engineering and technology,Theme 4: Academic support,1131.6
75.9,21 to 25,UK,Full-time,First degree,Engineering and technology,Theme 5: Organisation and management,1131.6
85,21 to 25,UK,Full-time,First degree,Engineering and technology,Theme 6: Learning resources,1129.1
74,21 to 25,UK,Full-time,First degree,Engineering and technology,Theme 7: Student voice,1123.1
80.7,21 to 25,UK,Full-time,First degree,Computing,Theme 1: Teaching on my course,1644.6
77,21 to 25,UK,Full-time,First degree,Computing,Theme 2: Learning opportunities,1644.6
78,21 to 25,UK,Full-time,First degree,Computing,Theme 3: Assessment and feedback,1643.6
82.4,21 to 25,UK,Full-time,First degree,Computing,Theme 4: Academic support,1638.6
72.6,21 to 25,UK,Full-time,First degree,Computing,Theme 5: Organisation and management,1642.6
83.4,21 to 25,UK,Full-time,First degree,Computing,Theme 6: Learning resources,1633.6
73.1,21 to 25,UK,Full-time,First degree,Computing,Theme 7: Student voice,1627.6
84.3,21 to 25,UK,Full-time,First degree,"Architecture, building and planning",Theme 1: Teaching on my course,416.7
80.7,21 to 25,UK,Full-time,First degree,"Architecture, building and planning",Theme 2: Learning opportunities,417.7
79.8,21 to 25,UK,Full-time,First degree,"Architecture, building and planning",Theme 3: Assessment and feedback,417.7
84.4,21 to 25,UK,Full-time,First degree,"Architecture, building and planning",Theme 4: Academic support,417.7
74.6,21 to 25,UK,Full-time,First degree,"Architecture, building and planning",Theme 5: Organisation and management,417.7
82.7,21 to 25,UK,Full-time,First degree,"Architecture, building and planning",Theme 6: Learning resources,417.2
74.7,21 to 25,UK,Full-time,First degree,"Architecture, building and planning",Theme 7: Student voice,414.2
85.5,21 to 25,UK,Full-time,First degree,Social sciences,Theme 1: Teaching on my course,2210.1
83.2,21 to 25,UK,Full-time,First degree,Social sciences,Theme 2: Learning opportunities,2210.1
80.6,21 to 25,UK,Full-time,First degree,Social sciences,Theme 3: Assessment and feedback,2210.1
82.5,21 to 25,UK,Full-time,First degree,Social sciences,Theme 4: Academic support,2209
73.1,21 to 25,UK,Full-time,First degree,Social sciences,Theme 5: Organisation and management,2209.6
86.4,21 to 25,UK,Full-time,First degree,Social sciences,Theme 6: Learning resources,2203.1
73.8,21 to 25,UK,Full-time,First degree,Social sciences,Theme 7: Student voice,2191.2
86.3,21 to 25,UK,Full-time,First degree,Law,Theme 1: Teaching on my course,1004.7
80.6,21 to 25,UK,Full-time,First degree,Law,Theme 2: Learning opportunities,1004.7
75.7,21 to 25,UK,Full-time,First degree,Law,Theme 3: Assessment and feedback,1004.7
81.9,21 to 25,UK,Full-time,First degree,Law,Theme 4: Academic support,1001.2
73.7,21 to 25,UK,Full-time,First degree,Law,Theme 5: Organisation and management,1004.2
86.4,21 to 25,UK,Full-time,First degree,Law,Theme 6: Learning resources,997.5
68.9,21 to 25,UK,Full-time,First degree,Law,Theme 7: Student voice,999
84.8,21 to 25,UK,Full-time,First degree,Business and management,Theme 1: Teaching on my course,4614.4
84.4,21 to 25,UK,Full-time,First degree,Business and management,Theme 2: Learning opportunities,4612.6
82.7,21 to 25,UK,Full-time,First degree,Business and management,Theme 3: Assessment and feedback,4612.6
85.9,21 to 25,UK,Full-time,First degree,Business and management,Theme 4: Academic support,4607.3
81.6,21 to 25,UK,Full-time,First degree,Business and management,Theme 5: Organisation and management,4609.6
88.4,21 to 25,UK,Full-time,First degree,Business and management,Theme 6: Learning resources,4600.6
79.9,21 to 25,UK,Full-time,First degree,Business and management,Theme 7: Student voice,4585.4
90.4,21 to 25,UK,Full-time,First degree,Language and area studies,Theme 1: Teaching on my course,559.8
84.2,21 to 25,UK,Full-time,First degree,Language and area studies,Theme 2: Learning opportunities,559.8
83.4,21 to 25,UK,Full-time,First degree,Language and area studies,Theme 3: Assessment and feedback,559.8
89.1,21 to 25,UK,Full-time,First degree,Language and area studies,Theme 4: Academic support,558.8
76.4,21 to 25,UK,Full-time,First degree,Language and area studies,Theme 5: Organisation and management,559.8
86.5,21 to 25,UK,Full-time,First degree,Language and area studies,Theme 6: Learning resources,554.3
74.9,21 to 25,UK,Full-time,First degree,Language and area studies,Theme 7: Student voice,557.5
92.5,21 to 25,UK,Full-time,First degree,"Historical, philosophical and religious studies",Theme 1: Teaching on my course,554.1
85.5,21 to 25,UK,Full-time,First degree,"Historical, philosophical and religious studies",Theme 2: Learning opportunities,554.1
84.9,21 to 25,UK,Full-time,First degree,"Historical, philosophical and religious studies",Theme 3: Assessment and feedback,554.1
89.2,21 to 25,UK,Full-time,First degree,"Historical, philosophical and religious studies",Theme 4: Academic support,554.1
81,21 to 25,UK,Full-time,First degree,"Historical, philosophical and religious studies",Theme 5: Organisation and management,553.9
87.7,21 to 25,UK,Full-time,First degree,"Historical, philosophical and religious studies",Theme 6: Learning resources,552.3
77.2,21 to 25,UK,Full-time,First degree,"Historical, philosophical and religious studies",Theme 7: Student voice,549.5
85.3,21 to 25,UK,Full-time,First degree,Education and teaching,Theme 1: Teaching on my course,942.9
85,21 to 25,UK,Full-time,First degree,Education and teaching,Theme 2: Learning opportunities,941.9
83.8,21 to 25,UK,Full-time,First degree,Education and teaching,Theme 3: Assessment and feedback,942.9
85.5,21 to 25,UK,Full-time,First degree,Education and teaching,Theme 4: Academic support,940.9
69.5,21 to 25,UK,Full-time,First degree,Education and teaching,Theme 5: Organisation and management,941.9
88.4,21 to 25,UK,Full-time,First degree,Education and teaching,Theme 6: Learning resources,938.9
73.7,21 to 25,UK,Full-time,First degree,Education and teaching,Theme 7: Student voice,937.7
85.4,21 to 25,UK,Full-time,First degree,Combined and general studies,Theme 1: Teaching on my course,77.7
86.3,21 to 25,UK,Full-time,First degree,Combined and general studies,Theme 2: Learning opportunities,77.7
82.9,21 to 25,UK,Full-time,First degree,Combined and general studies,Theme 3: Assessment and feedback,77.7
90.5,21 to 25,UK,Full-time,First degree,Combined and general studies,Theme 4: Academic support,77.7
76.4,21 to 25,UK,Full-time,First degree,Combined and general studies,Theme 5: Organisation and management,77.7
81.3,21 to 25,UK,Full-time,First degree,Combined and general studies,Theme 6: Learning resources,77.7
74.5,21 to 25,UK,Full-time,First degree,Combined and general studies,Theme 7: Student voice,77.7
83.3,21 to 25,UK,Full-time,First degree,"Media, journalism and communications",Theme 1: Teaching on my course,615.4
79.7,21 to 25,UK,Full-time,First degree,"Media, journalism and communications",Theme 2: Learning opportunities,615.1
81.6,21 to 25,UK,Full-time,First degree,"Media, journalism and communications",Theme 3: Assessment and feedback,615.1
86.3,21 to 25,UK,Full-time,First degree,"Media, journalism and communications",Theme 4: Academic support,615.1
71.7,21 to 25,UK,Full-time,First degree,"Media, journalism and communications",Theme 5: Organisation and management,614.1
85.5,21 to 25,UK,Full-time,First degree,"Media, journalism and communications",Theme 6: Learning resources,615.4
73.1,21 to 25,UK,Full-time,First degree,"Media, journalism and communications",Theme 7: Student voice,613.6
83.5,21 to 25,UK,Full-time,First degree,"Design, and creative and performing arts",Theme 1: Teaching on my course,3755.1
79.4,21 to 25,UK,Full-time,First degree,"Design, and creative and performing arts",Theme 2: Learning opportunities,3755.1
81.1,21 to 25,UK,Full-time,First degree,"Design, and creative and performing arts",Theme 3: Assessment and feedback,3754.1
84.2,21 to 25,UK,Full-time,First degree,"Design, and creative and performing arts",Theme 4: Academic support,3755.1
66.6,21 to 25,UK,Full-time,First degree,"Design, and creative and performing arts",Theme 5: Organisation and management,3749.3
80,21 to 25,UK,Full-time,First degree,"Design, and creative and performing arts",Theme 6: Learning resources,3747.6
73.5,21 to 25,UK,Full-time,First degree,"Design, and creative and performing arts",Theme 7: Student voice,3742.3
90.4,21 to 25,UK,Full-time,First degree,"Geography, earth and environmental studies",Theme 1: Teaching on my course,168.1
87,21 to 25,UK,Full-time,First degree,"Geography, earth and environmental studies",Theme 2: Learning opportunities,168.1
82.6,21 to 25,UK,Full-time,First degree,"Geography, earth and environmental studies",Theme 3: Assessment and feedback,168.1
90.1,21 to 25,UK,Full-time,First degree,"Geography, earth and environmental studies",Theme 4: Academic support,168.1
78.3,21 to 25,UK,Full-time,First degree,"Geography, earth and environmental studies",Theme 5: Organisation and management,168.1
87.9,21 to 25,UK,Full-time,First degree,"Geography, earth and environmental studies",Theme 6: Learning resources,167.1
80.2,21 to 25,UK,Full-time,First degree,"Geography, earth and environmental studies",Theme 7: Student voice,165.1
83.8,21 to 25,UK,Full-time,First degree,All subjects,Theme 1: Teaching on my course,25851
80.8,21 to 25,UK,Full-time,First degree,All subjects,Theme 2: Learning opportunities,25849
79.3,21 to 25,UK,Full-time,First degree,All subjects,Theme 3: Assessment and feedback,25849
81.9,21 to 25,UK,Full-time,First degree,All subjects,Theme 4: Academic support,25826
70.2,21 to 25,UK,Full-time,First degree,All subjects,Theme 5: Organisation and management,25835
85.2,21 to 25,UK,Full-time,First degree,All subjects,Theme 6: Learning resources,25755
73.2,21 to 25,UK,Full-time,First degree,All subjects,Theme 7: Student voice,25685
87.4,21 to 25,UK,Part-time,First degree,Subjects allied to medicine,Theme 1: Teaching on my course,191.5
83.1,21 to 25,UK,Part-time,First degree,Subjects allied to medicine,Theme 2: Learning opportunities,191.5
81.6,21 to 25,UK,Part-time,First degree,Subjects allied to medicine,Theme 3: Assessment and feedback,191.5
84.3,21 to 25,UK,Part-time,First degree,Subjects allied to medicine,Theme 4: Academic support,191.5
75.6,21 to 25,UK,Part-time,First degree,Subjects allied to medicine,Theme 5: Organisation and management,191.5
86.1,21 to 25,UK,Part-time,First degree,Subjects allied to medicine,Theme 6: Learning resources,191.5
66.3,21 to 25,UK,Part-time,First degree,Subjects allied to medicine,Theme 7: Student voice,188.5
82.4,21 to 25,UK,Part-time,First degree,Engineering and technology,Theme 1: Teaching on my course,304.3
77.8,21 to 25,UK,Part-time,First degree,Engineering and technology,Theme 2: Learning opportunities,304.3
80.3,21 to 25,UK,Part-time,First degree,Engineering and technology,Theme 3: Assessment and feedback,304.3
82.4,21 to 25,UK,Part-time,First degree,Engineering and technology,Theme 4: Academic support,302
71.5,21 to 25,UK,Part-time,First degree,Engineering and technology,Theme 5: Organisation and management,304.3
86.7,21 to 25,UK,Part-time,First degree,Engineering and technology,Theme 6: Learning resources,304.3
63.8,21 to 25,UK,Part-time,First degree,Engineering and technology,Theme 7: Student voice,300.6
79,21 to 25,UK,Part-time,First degree,"Architecture, building and planning",Theme 1: Teaching on my course,168.8
74.4,21 to 25,UK,Part-time,First degree,"Architecture, building and planning",Theme 2: Learning opportunities,168.8
75.2,21 to 25,UK,Part-time,First degree,"Architecture, building and planning",Theme 3: Assessment and feedback,168.8
83.1,21 to 25,UK,Part-time,First degree,"Architecture, building and planning",Theme 4: Academic support,168.8
69.3,21 to 25,UK,Part-time,First degree,"Architecture, building and planning",Theme 5: Organisation and management,168.8
84.8,21 to 25,UK,Part-time,First degree,"Architecture, building and planning",Theme 6: Learning resources,165.8
66.2,21 to 25,UK,Part-time,First degree,"Architecture, building and planning",Theme 7: Student voice,166.8
82.1,21 to 25,UK,Part-time,First degree,"Design, and creative and performing arts",Theme 1: Teaching on my course,54
77.4,21 to 25,UK,Part-time,First degree,"Design, and creative and performing arts",Theme 2: Learning opportunities,54
85.6,21 to 25,UK,Part-time,First degree,"Design, and creative and performing arts",Theme 3: Assessment and feedback,54
83.8,21 to 25,UK,Part-time,First degree,"Design, and creative and performing arts",Theme 4: Academic support,54
75.9,21 to 25,UK,Part-time,First degree,"Design, and creative and performing arts",Theme 5: Organisation and management,54
77.8,21 to 25,UK,Part-time,First degree,"Design, and creative and performing arts",Theme 6: Learning resources,54
67.3,21 to 25,UK,Part-time,First degree,"Design, and creative and performing arts",Theme 7: Student voice,54
86,21 to 25,UK,All modes,Other undergraduate,Subjects allied to medicine,Theme 1: Teaching on my course,621.5
83.1,21 to 25,UK,All modes,Other undergraduate,Subjects allied to medicine,Theme 2: Learning opportunities,621.5
84.7,21 to 25,UK,All modes,Other undergraduate,Subjects allied to medicine,Theme 3: Assessment and feedback,620.5
81,21 to 25,UK,All modes,Other undergraduate,Subjects allied to medicine,Theme 4: Academic support,619.5
60.1,21 to 25,UK,All modes,Other undergraduate,Subjects allied to medicine,Theme 5: Organisation and management,619.5
86.6,21 to 25,UK,All modes,Other undergraduate,Subjects allied to medicine,Theme 6: Learning resources,616.5
72.6,21 to 25,UK,All modes,Other undergraduate,Subjects allied to medicine,Theme 7: Student voice,618.5
88.7,21 to 25,UK,All modes,Other undergraduate,Biological and sport sciences,Theme 1: Teaching on my course,112.5
87.2,21 to 25,UK,All modes,Other undergraduate,Biological and sport sciences,Theme 2: Learning opportunities,112.5
88.7,21 to 25,UK,All modes,Other undergraduate,Biological and sport sciences,Theme 3: Assessment and feedback,112.5
91,21 to 25,UK,All modes,Other undergraduate,Biological and sport sciences,Theme 4: Academic support,112.5
79.6,21 to 25,UK,All modes,Other undergraduate,Biological and sport sciences,Theme 5: Organisation and management,112.5
84.7,21 to 25,UK,All modes,Other undergraduate,Biological and sport sciences,Theme 6: Learning resources,110.5
80.1,21 to 25,UK,All modes,Other undergraduate,Biological and sport sciences,Theme 7: Student voice,112.5
84.3,21 to 25,UK,All modes,Other undergraduate,Psychology,Theme 1: Teaching on my course,21.5
87.9,21 to 25,UK,All modes,Other undergraduate,Psychology,Theme 2: Learning opportunities,21.5
86.5,21 to 25,UK,All modes,Other undergraduate,Psychology,Theme 3: Assessment and feedback,21.5
80.2,21 to 25,UK,All modes,Other undergraduate,Psychology,Theme 4: Academic support,21.5
75.6,21 to 25,UK,All modes,Other undergraduate,Psychology,Theme 5: Organisation and management,21.5
88.6,21 to 25,UK,All modes,Other undergraduate,Psychology,Theme 6: Learning resources,20.5
79.2,21 to 25,UK,All modes,Other undergraduate,Psychology,Theme 7: Student voice,20
90.9,21 to 25,UK,All modes,Other undergraduate,Veterinary sciences,Theme 1: Teaching on my course,44
80.1,21 to 25,UK,All modes,Other undergraduate,Veterinary sciences,Theme 2: Learning opportunities,44
76.4,21 to 25,UK,All modes,Other undergraduate,Veterinary sciences,Theme 3: Assessment and feedback,44
77.3,21 to 25,UK,All modes,Other undergraduate,Veterinary sciences,Theme 4: Academic support,44
58,21 to 25,UK,All modes,Other undergraduate,Veterinary sciences,Theme 5: Organisation and management,44
79.2,21 to 25,UK,All modes,Other undergraduate,Veterinary sciences,Theme 6: Learning resources,44
61.4,21 to 25,UK,All modes,Other undergraduate,Veterinary sciences,Theme 7: Student voice,44
87.6,21 to 25,UK,All modes,Other undergraduate,"Agriculture, food and related studies",Theme 1: Teaching on my course,109.8
81.5,21 to 25,UK,All modes,Other undergraduate,"Agriculture, food and related studies",Theme 2: Learning opportunities,109.8
82.8,21 to 25,UK,All modes,Other undergraduate,"Agriculture, food and related studies",Theme 3: Assessment and feedback,109.8
88.8,21 to 25,UK,All modes,Other undergraduate,"Agriculture, food and related studies",Theme 4: Academic support,109.8
66.7,21 to 25,UK,All modes,Other undergraduate,"Agriculture, food and related studies",Theme 5: Organisation and management,109.8
80,21 to 25,UK,All modes,Other undergraduate,"Agriculture, food and related studies",Theme 6: Learning resources,109.8
73,21 to 25,UK,All modes,Other undergraduate,"Agriculture, food and related studies",Theme 7: Student voice,109.8
86.2,21 to 25,UK,All modes,Other undergraduate,Engineering and technology,Theme 1: Teaching on my course,124.8
82.3,21 to 25,UK,All modes,Other undergraduate,Engineering and technology,Theme 2: Learning opportunities,124.8
81.5,21 to 25,UK,All modes,Other undergraduate,Engineering and technology,Theme 3: Assessment and feedback,124.8
83.2,21 to 25,UK,All modes,Other undergraduate,Engineering and technology,Theme 4: Academic support,124.8
64.5,21 to 25,UK,All modes,Other undergraduate,Engineering and technology,Theme 5: Organisation and management,124.8
79.7,21 to 25,UK,All modes,Other undergraduate,Engineering and technology,Theme 6: Learning resources,124.8
68.6,21 to 25,UK,All modes,Other undergraduate,Engineering and technology,Theme 7: Student voice,124.8
87.8,21 to 25,UK,All modes,Other undergraduate,Computing,Theme 1: Teaching on my course,116.3
79.2,21 to 25,UK,All modes,Other undergraduate,Computing,Theme 2: Learning opportunities,116.3
87.5,21 to 25,UK,All modes,Other undergraduate,Computing,Theme 3: Assessment and feedback,116.3
90.1,21 to 25,UK,All modes,Other undergraduate,Computing,Theme 4: Academic support,116.3
75.2,21 to 25,UK,All modes,Other undergraduate,Computing,Theme 5: Organisation and management,116.3
80.4,21 to 25,UK,All modes,Other undergraduate,Computing,Theme 6: Learning resources,116.3
75.3,21 to 25,UK,All modes,Other undergraduate,Computing,Theme 7: Student voice,113.3
94.4,21 to 25,UK,All modes,Other undergraduate,"Architecture, building and planning",Theme 1: Teaching on my course,13.5
98.5,21 to 25,UK,All modes,Other undergraduate,"Architecture, building and planning",Theme 2: Learning opportunities,13.5
95.6,21 to 25,UK,All modes,Other undergraduate,"Architecture, building and planning",Theme 3: Assessment and feedback,13.5
96.3,21 to 25,UK,All modes,Other undergraduate,"Architecture, building and planning",Theme 4: Academic support,13.5
90.7,21 to 25,UK,All modes,Other undergraduate,"Architecture, building and planning",Theme 5: Organisation and management,13.5
95.1,21 to 25,UK,All modes,Other undergraduate,"Architecture, building and planning",Theme 6: Learning resources,13.5
91.4,21 to 25,UK,All modes,Other undergraduate,"Architecture, building and planning",Theme 7: Student voice,13.5
91.5,21 to 25,UK,All modes,Other undergraduate,Social sciences,Theme 1: Teaching on my course,267
88.6,21 to 25,UK,All modes,Other undergraduate,Social sciences,Theme 2: Learning opportunities,268
90.9,21 to 25,UK,All modes,Other undergraduate,Social sciences,Theme 3: Assessment and feedback,268
89.6,21 to 25,UK,All modes,Other undergraduate,Social sciences,Theme 4: Academic support,268
80.8,21 to 25,UK,All modes,Other undergraduate,Social sciences,Theme 5: Organisation and management,267
86.1,21 to 25,UK,All modes,Other undergraduate,Social sciences,Theme 6: Learning resources,265
82.6,21 to 25,UK,All modes,Other undergraduate,Social sciences,Theme 7: Student voice,266.5
97.4,21 to 25,UK,All modes,Other undergraduate,Law,Theme 1: Teaching on my course,6
95,21 to 25,UK,All modes,Other undergraduate,Law,Theme 2: Learning opportunities,6
88.3,21 to 25,UK,All modes,Other undergraduate,Law,Theme 3: Assessment and feedback,6
95.8,21 to 25,UK,All modes,Other undergraduate,Law,Theme 4: Academic support,6
79.2,21 to 25,UK,All modes,Other undergraduate,Law,Theme 5: Organisation and management,6
68.1,21 to 25,UK,All modes,Other undergraduate,Law,Theme 6: Learning resources,6
90.3,21 to 25,UK,All modes,Other undergraduate,Law,Theme 7: Student voice,6
88.9,21 to 25,UK,All modes,Other undergraduate,Business and management,Theme 1: Teaching on my course,611.4
87.1,21 to 25,UK,All modes,Other undergraduate,Business and management,Theme 2: Learning opportunities,610.4
89,21 to 25,UK,All modes,Other undergraduate,Business and management,Theme 3: Assessment and feedback,610.4
88.3,21 to 25,UK,All modes,Other undergraduate,Business and management,Theme 4: Academic support,610.4
85.1,21 to 25,UK,All modes,Other undergraduate,Business and management,Theme 5: Organisation and management,611.4
87.6,21 to 25,UK,All modes,Other undergraduate,Business and management,Theme 6: Learning resources,610.4
84.6,21 to 25,UK,All modes,Other undergraduate,Business and management,Theme 7: Student voice,607.4
93.3,21 to 25,UK,All modes,Other undergraduate,Education and teaching,Theme 1: Teaching on my course,329.5
91.3,21 to 25,UK,All modes,Other undergraduate,Education and teaching,Theme 2: Learning opportunities,329.5
91.5,21 to 25,UK,All modes,Other undergraduate,Education and teaching,Theme 3: Assessment and feedback,329.5
92.7,21 to 25,UK,All modes,Other undergraduate,Education and teaching,Theme 4: Academic support,329.5
83.8,21 to 25,UK,All modes,Other undergraduate,Education and teaching,Theme 5: Organisation and management,329.5
85.8,21 to 25,UK,All modes,Other undergraduate,Education and teaching,Theme 6: Learning resources,329.5
87.3,21 to 25,UK,All modes,Other undergraduate,Education and teaching,Theme 7: Student voice,327.5
83.9,21 to 25,UK,All modes,Other undergraduate,Combined and general studies,Theme 1: Teaching on my course,27.3
82.7,21 to 25,UK,All modes,Other undergraduate,Combined and general studies,Theme 2: Learning opportunities,27.3
89.4,21 to 25,UK,All modes,Other undergraduate,Combined and general studies,Theme 3: Assessment and feedback,27.3
83.6,21 to 25,UK,All modes,Other undergraduate,Combined and general studies,Theme 4: Academic support,27.3
79,21 to 25,UK,All modes,Other undergraduate,Combined and general studies,Theme 5: Organisation and management,27.3
81.2,21 to 25,UK,All modes,Other undergraduate,Combined and general studies,Theme 6: Learning resources,27.3
77.8,21 to 25,UK,All modes,Other undergraduate,Combined and general studies,Theme 7: Student voice,27.3
84.5,21 to 25,UK,All modes,Other undergraduate,"Media, journalism and communications",Theme 1: Teaching on my course,16.8
90,21 to 25,UK,All modes,Other undergraduate,"Media, journalism and communications",Theme 2: Learning opportunities,16.8
91.9,21 to 25,UK,All modes,Other undergraduate,"Media, journalism and communications",Theme 3: Assessment and feedback,16.8
94,21 to 25,UK,All modes,Other undergraduate,"Media, journalism and communications",Theme 4: Academic support,16.8
78.6,21 to 25,UK,All modes,Other undergraduate,"Media, journalism and communications",Theme 5: Organisation and management,16.8
90.5,21 to 25,UK,All modes,Other undergraduate,"Media, journalism and communications",Theme 6: Learning resources,16.8
84.5,21 to 25,UK,All modes,Other undergraduate,"Media, journalism and communications",Theme 7: Student voice,16.8
89.9,21 to 25,UK,All modes,Other undergraduate,"Design, and creative and performing arts",Theme 1: Teaching on my course,175.8
87.7,21 to 25,UK,All modes,Other undergraduate,"Design, and creative and performing arts",Theme 2: Learning opportunities,175.8
87,21 to 25,UK,All modes,Other undergraduate,"Design, and creative and performing arts",Theme 3: Assessment and feedback,175.8
86.6,21 to 25,UK,All modes,Other undergraduate,"Design, and creative and performing arts",Theme 4: Academic support,174.8
71,21 to 25,UK,All modes,Other undergraduate,"Design, and creative and performing arts",Theme 5: Organisation and management,175.8
83.2,21 to 25,UK,All modes,Other undergraduate,"Design, and creative and performing arts",Theme 6: Learning resources,174.8
76.4,21 to 25,UK,All modes,Other undergraduate,"Design, and creative and performing arts",Theme 7: Student voice,174.8
